ticker,company,category
NTNX,"Nutanix, Inc.",Technology
KSPI,Joint Stock Company Kaspi.kz,Technology
STX,Seagate Technology Holdings plc,Technology
GWRE,"Guidewire Software, Inc.",Technology
SGPYY,The Sage Group plc,Technology
DOCU,"DocuSign, Inc.",Technology
JBL,Jabil Inc.,Technology
NEMTF,Nemetschek SE,Technology
FFIV,"F5, Inc.",Technology
XROLF,Xero Limited,Technology
GEN,Gen Digital Inc.,Technology
ASUUY,ASUSTeK Computer Inc.,Technology
SGGEF,The Sage Group plc,Technology
ON,ON Semiconductor Corporation,Technology
DUOL,"Duolingo, Inc.",Technology
TRMB,Trimble Inc.,Technology
CYBR,CyberArk Software Ltd.,Technology
FSLR,"First Solar, Inc.",Technology
PSTG,"Pure Storage, Inc.",Technology
OBIIF,"OBIC Co.,Ltd.",Technology
WIZEY,Wise plc,Technology
AFRM,"Affirm Holdings, Inc.",Technology
BSY,"Bentley Systems, Incorporated",Technology
TWLO,Twilio Inc.,Technology
DT,"Dynatrace, Inc.",Technology
WPLCF,Wise plc,Technology
LNVGY,Lenovo Group Limited,Technology
LNVGF,Lenovo Group Limited,Technology
WDC,Western Digital Corporation,Technology
JKHY,"Jack Henry & Associates, Inc.",Technology
PAYC,"Paycom Software, Inc.",Technology
MNDY,monday.com Ltd.,Technology
FLEX,Flex Ltd.,Technology
OCLCF,Oracle Corporation Japan,Technology
NEMKY,Nemetschek SE,Technology
MDB,"MongoDB, Inc.",Technology
ZBRA,Zebra Technologies Corporation,Technology
TER,"Teradyne, Inc.",Technology
JNPR,"Juniper Networks, Inc.",Technology
SHMZF,Shimadzu Corporation,Technology
HHUSF,Hua Hong Semiconductor Limited,Technology
RBRK,"Rubrik, Inc.",Technology
AKAM,"Akamai Technologies, Inc.",Technology
LOGI,Logitech International S.A.,Technology
NCSYF,NICE Ltd.,Technology
YMM,Full Truck Alliance Co. Ltd.,Technology
AUR,"Aurora Innovation, Inc.",Technology
ENTG,"Entegris, Inc.",Technology
PCTY,Paylocity Holding Corporation,Technology
MANH,"Manhattan Associates, Inc.",Technology
BYDIY,BYD Electronic (International) Company Limited,Technology
CLS,Celestica Inc.,Technology
DOX,Amdocs Limited,Technology
BYDIF,BYD Electronic (International) Company Limited,Technology
NICE,NICE Ltd.,Technology
CACI,CACI International Inc,Technology
TOITF,Topicus.com Inc.,Technology
ALAB,"Astera Labs, Inc.",Technology
TMICF,Trend Micro Incorporated,Technology
TMICY,Trend Micro Incorporated,Technology
SNX,TD SYNNEX Corporation,Technology
SWKS,"Skyworks Solutions, Inc.",Technology
WIX,Wix.com Ltd.,Technology
DSGX,The Descartes Systems Group Inc.,Technology
SOTGY,Sunny Optical Technology (Group) Company Limited,Technology
CIEN,Ciena Corporation,Technology
PCOR,"Procore Technologies, Inc.",Technology
BESIY,BE Semiconductor Industries N.V.,Technology
COHR,Coherent Corp.,Technology
DAY,Dayforce Inc,Technology
AVMPF,--,Technology
TISNF,TIS Inc.,Technology
G,Genpact Limited,Technology
EPAM,"EPAM Systems, Inc.",Technology
DBX,"Dropbox, Inc.",Technology
ESTC,Elastic N.V.,Technology
NIPNF,NEC Corporation,Technology
LMGIF,Lumine Group Inc.,Technology
APPF,"AppFolio, Inc.",Technology
LSRCF,Lasertec Corporation,Technology
LSRCY,Lasertec Corporation,Technology
U,Unity Software Inc.,Technology
BESVF,BE Semiconductor Industries N.V.,Technology
SNPTF,Sunny Optical Technology (Group) Company Limited,Technology
NEXPF,Nexi S.p.A.,Technology
RXEEY,Rexel S.A.,Technology
RXLSF,Rexel S.A.,Technology
NXDCF,NEXTDC Limited,Technology
EXLS,"ExlService Holdings, Inc.",Technology
SRAD,Sportradar Group AG,Technology
NEXXY,Nexi S.p.A.,Technology
ENPH,"Enphase Energy, Inc.",Technology
MTSI,"MACOM Technology Solutions Holdings, Inc.",Technology
CFLT,"Confluent, Inc.",Technology
DINRF,"SCREEN Holdings Co., Ltd.",Technology
KVYO,"Klaviyo, Inc.",Technology
PSN,Parsons Corporation,Technology
FOUR,"Shift4 Payments, Inc.",Technology
GTLB,GitLab Inc.,Technology
SNTMF,SenseTime Group Inc.,Technology
KD,"Kyndryl Holdings, Inc.",Technology
OTEX,Open Text Corporation,Technology
ASTS,"AST SpaceMobile, Inc.",Technology
FN,Fabrinet,Technology
CVLT,"Commvault Systems, Inc.",Technology
SATS,EchoStar Corporation,Technology
RPYTF,Reply S.p.A.,Technology
CRDO,Credo Technology Group Holding Ltd,Technology
VERX,"Vertex, Inc.",Technology
KGDEY,Kingdee International Software Group Company Limited,Technology
MNBEF,MINEBEA MITSUMI Inc.,Technology
NXT,Nextracker Inc.,Technology
BMI,"Badger Meter, Inc.",Technology
OMRNY,OMRON Corporation,Technology
ISMAY,"Indra Sistemas, S.A.",Technology
PEGA,Pegasystems Inc.,Technology
SAIC,Science Applications International Corporation,Technology
PATH,UiPath Inc.,Technology
KGDEF,Kingdee International Software Group Company Limited,Technology
CWAN,"Clearwater Analytics Holdings, Inc.",Technology
LSCC,Lattice Semiconductor Corporation,Technology
ONTO,Onto Innovation Inc.,Technology
TMSNY,Temenos AG,Technology
TMNSF,Temenos AG,Technology
IONQ,"IonQ, Inc.",Technology
DUSXF,Dustin Group AB (publ),Technology
QRVO,"Qorvo, Inc.",Technology
CCCS,CCC Intelligent Solutions Holdings Inc.,Technology
OLED,Universal Display Corporation,Technology
S,"SentinelOne, Inc.",Technology
FNOXF,Fortnox AB (publ),Technology
QXO,"QXO, Inc.",Technology
ARW,"Arrow Electronics, Inc.",Technology
INFA,Informatica Inc.,Technology
ACIW,"ACI Worldwide, Inc.",Technology
ISMAF,"Indra Sistemas, S.A.",Technology
NVMI,Nova Ltd.,Technology
AACAY,AAC Technologies Holdings Inc.,Technology
BECTY,Bechtle AG,Technology
WEX,WEX Inc.,Technology
RMBS,Rambus Inc.,Technology
SPSC,"SPS Commerce, Inc.",Technology
IDCC,"InterDigital, Inc.",Technology
BHTLF,Bechtle AG,Technology
AACAF,AAC Technologies Holdings Inc.,Technology
ITRI,"Itron, Inc.",Technology
LYFT,"Lyft, Inc.",Technology
OS,"OneStream, Inc.",Technology
GLOB,Globant S.A.,Technology
CRUS,"Cirrus Logic, Inc.",Technology
VRNS,"Varonis Systems, Inc.",Technology
QTWO,"Q2 Holdings, Inc.",Technology
VNT,Vontier Corporation,Technology
YAGOY,Yageo Corporation,Technology
QLYS,"Qualys, Inc.",Technology
SEKEY,Seiko Epson Corporation,Technology
SHCAF,Sharp Corporation,Technology
SEKEF,Seiko Epson Corporation,Technology
MKSI,"MKS Instruments, Inc.",Technology
BOX,"Box, Inc.",Technology
NSIT,"Insight Enterprises, Inc.",Technology
TSYHY,TravelSky Technology Limited,Technology
BILL,"BILL Holdings, Inc.",Technology
GDS,GDS Holdings Limited,Technology
EEFT,"Euronet Worldwide, Inc.",Technology
NOVT,Novanta Inc.,Technology
AVT,"Avnet, Inc.",Technology
CGNX,Cognex Corporation,Technology
CLBT,Cellebrite DI Ltd.,Technology
AUOTY,AUO Corporation,Technology
TSYHF,TravelSky Technology Limited,Technology
SANM,Sanmina Corporation,Technology
TSEM,Tower Semiconductor Ltd.,Technology
SPSAF,Sopra Steria Group SA,Technology
INTA,"Intapp, Inc.",Technology
RELY,"Remitly Global, Inc.",Technology
AMKR,"Amkor Technology, Inc.",Technology
ESE,ESCO Technologies Inc.,Technology
IBIDY,"Ibiden Co.,Ltd.",Technology
SHCAY,Sharp Corporation,Technology
ASMVF,ASMPT Limited,Technology
LFUS,"Littelfuse, Inc.",Technology
FRSH,Freshworks Inc.,Technology
INGM,Ingram Micro Holding Corporation,Technology
BDC,Belden Inc.,Technology
TENB,"Tenable Holdings, Inc.",Technology
WK,Workiva Inc.,Technology
YOU,"Clear Secure, Inc.",Technology
STNE,StoneCo Ltd.,Technology
PAY,"Paymentus Holdings, Inc.",Technology
LITE,Lumentum Holdings Inc.,Technology
ROHCF,"ROHM Co., Ltd.",Technology
IBIDF,"Ibiden Co.,Ltd.",Technology
VRRM,Verra Mobility Corporation,Technology
TTVSY,Totvs SA,Technology
KXSCF,Kinaxis Inc.,Technology
FROG,JFrog Ltd.,Technology
GRND,Grindr Inc.,Technology
SPPSY,Sopra Steria Group SA,Technology
ROHCY,"ROHM Co., Ltd.",Technology
ASAN,"Asana, Inc.",Technology
PLXS,Plexus Corp.,Technology
ALGM,"Allegro MicroSystems, Inc.",Technology
SFDMY,Shanghai Fudan Microelectronics Group Company Limited,Technology
ACEYY,Acer Incorporated,Technology
OSIS,"OSI Systems, Inc.",Technology
ABLGF,Alten S.A.,Technology
SWI,SolarWinds Corporation,Technology
BLKB,"Blackbaud, Inc.",Technology
ASOZF,Asseco Poland S.A.,Technology
CNXC,Concentrix Corporation,Technology
SITM,SiTime Corporation,Technology
BRZE,"Braze, Inc.",Technology
XISHY,Xinyi Solar Holdings Limited,Technology
SLAB,Silicon Laboratories Inc.,Technology
ZI,ZoomInfo Technologies Inc.,Technology
ASOZY,Asseco Poland S.A.,Technology
ST,Sensata Technologies Holding plc,Technology
GCPEF,GCL Technology Holdings Limited,Technology
LMHDF,LEM Holding SA,Technology
SOUN,"SoundHound AI, Inc.",Technology
WNS,WNS (Holdings) Limited,Technology
OVHFF,OVH Groupe S.A.,Technology
LPL,"LG Display Co., Ltd.",Technology
LIF,"Life360, Inc.",Technology
WANSF,Cirata plc,Technology
BL,"BlackLine, Inc.",Technology
HPHTF,Hamamatsu Photonics K.K.,Technology
NCNO,"nCino, Inc.",Technology
ALIT,"Alight, Inc.",Technology
HPHTY,Hamamatsu Photonics K.K.,Technology
CAMT,Camtek Ltd.,Technology
KC,Kingsoft Cloud Holdings Limited,Technology
ZETA,Zeta Global Holdings Corp.,Technology
VEMLF,Venture Corporation Limited,Technology
KGBLF,Kingboard Laminates Holdings Limited,Technology
AVPT,"AvePoint, Inc.",Technology
PAGS,PagSeguro Digital Ltd.,Technology
DXC,DXC Technology Company,Technology
POWI,"Power Integrations, Inc.",Technology
TRUBF,TRUECALLER AB,Technology
ASGN,ASGN Incorporated,Technology
SEPJF,Spectris plc,Technology
HRIBF,"HORIBA, Ltd.",Technology
ASMVY,ASMPT Limited,Technology
DOCN,"DigitalOcean Holdings, Inc.",Technology
TCLHF,TCL Electronics Holdings Limited,Technology
XNYIF,Xinyi Solar Holdings Limited,Technology
SEPJY,Spectris plc,Technology
ALRM,"Alarm.com Holdings, Inc.",Technology
ALKT,"Alkami Technology, Inc.",Technology
DLO,DLocal Limited,Technology
TOPCF,Topcon Corporation,Technology
AI,"C3.ai, Inc.",Technology
LIFX,"Life360, Inc.",Technology
ETCMY,Eutelsat Communications S.A.,Technology
CLVT,Clarivate Plc,Technology
PRGS,Progress Software Corporation,Technology
ODD,Oddity Tech Ltd.,Technology
VEMLY,Venture Corporation Limited,Technology
RGTI,"Rigetti Computing, Inc.",Technology
IPGP,IPG Photonics Corporation,Technology
SLOIY,Soitec SA,Technology
TMVWY,TeamViewer SE,Technology
PAYO,Payoneer Global Inc.,Technology
WRD,WeRide Inc.,Technology
RNSHF,Renishaw plc,Technology
WWLNF,Worldline SA,Technology
CALX,"Calix, Inc.",Technology
NTCYF,Netcompany Group A/S,Technology
SUOPY,Sumco Corporation,Technology
SRBEF,VusionGroup S.A.,Technology
APELY,"Alps Alpine Co., Ltd.",Technology
NRSDY,Nordic Semiconductor ASA,Technology
VIAV,Viavi Solutions Inc.,Technology
QTGPF,Qt Group Oyj,Technology
SLNTY,Solutions 30 SE,Technology
TMVWF,TeamViewer SE,Technology
AMANF,Amano Corporation,Technology
APELF,"Alps Alpine Co., Ltd.",Technology
SUMCF,Sumco Corporation,Technology
FITGF,FIT Hon Teng Limited,Technology
VICR,Vicor Corporation,Technology
DV,"DoubleVerify Holdings, Inc.",Technology
EVTC,"EVERTEC, Inc.",Technology
RNG,"RingCentral, Inc.",Technology
PAR,PAR Technology Corporation,Technology
SESPF,SeSa S.p.A.,Technology
NDCVF,Nordic Semiconductor ASA,Technology
MAWAF,"Maruwa Co.,Ltd.",Technology
CFTLF,Chinasoft International Limited,Technology
SMTC,Semtech Corporation,Technology
SYNA,Synaptics Incorporated,Technology
APPN,Appian Corporation,Technology
FORM,"FormFactor, Inc.",Technology
TDC,Teradata Corporation,Technology
PI,"Impinj, Inc.",Technology
AGYS,"Agilysys, Inc.",Technology
MQ,"Marqeta, Inc.",Technology
CODAF,Codan Limited,Technology
TTMI,"TTM Technologies, Inc.",Technology
TYOYY,"Taiyo Yuden Co., Ltd.",Technology
BB,BlackBerry Limited,Technology
CORZ,"Core Scientific, Inc.",Technology
VAIAF,Vaisala Oyj,Technology
EVCM,EverCommerce Inc.,Technology
SNSNF,SANSAN INC,Technology
CSIOY,"Casio Computer Co.,Ltd.",Technology
NATL,NCR Atleos Corporation,Technology
CXM,"Sprinklr, Inc.",Technology
WRDLY,Worldline SA,Technology
AMBA,"Ambarella, Inc.",Technology
NPEGF,"Nippon Electric Glass Co., Ltd.",Technology
CSGS,"CSG Systems International, Inc.",Technology
DLGEF,"Digital Garage, Inc.",Technology
SLOIF,Soitec SA,Technology
FIVN,"Five9, Inc.",Technology
YZOFF,Yangtze Optical Fibre And Cable Joint Stock Limited Company,Technology
VTKLY,Vtech Holdings Limited,Technology
RAMP,"LiveRamp Holdings, Inc.",Technology
YUBCF,YUBICO AB,Technology
DIOD,Diodes Incorporated,Technology
PLUS,ePlus inc.,Technology
CNXN,"PC Connection, Inc.",Technology
DBD,"Diebold Nixdorf, Incorporated",Technology
KLIC,"Kulicke and Soffa Industries, Inc.",Technology
AVDX,"AvidXchange Holdings, Inc.",Technology
PONY,Pony AI Inc.,Technology
IPEU,IPE Universal Inc.,Technology
VTKLF,Vtech Holdings Limited,Technology
FREKF,freee K.K.,Technology
RUN,Sunrun Inc.,Technology
ELTTF,Elmos Semiconductor SE,Technology
VRSSF,VERSES AI Inc.,Technology
VSH,"Vishay Intertechnology, Inc.",Technology
NN,NextNav Inc.,Technology
EXTR,"Extreme Networks, Inc.",Technology
GB,Global Blue Group Holding AG,Technology
HLTEF,Hilan Ltd.,Technology
ACLS,"Axcelis Technologies, Inc.",Technology
SPNS,Sapiens International Corporation N.V.,Technology
QBTS,D-Wave Quantum Inc.,Technology
RPD,"Rapid7, Inc.",Technology
NTCT,"NetScout Systems, Inc.",Technology
ATEAY,Atea ASA,Technology
LSPD,Lightspeed Commerce Inc.,Technology
NUKKW,Nukkleus Inc.,Technology
OXINF,Oxford Instruments plc,Technology
NYAX,Nayax Ltd.,Technology
JAMF,Jamf Holding Corp.,Technology
SPNUF,Spirent Communications plc,Technology
FORTY,Formula Systems (1985) Ltd.,Technology
ATAZF,Atea ASA,Technology
MLGO,MicroAlgo Inc.,Technology
VNET,"VNET Group, Inc.",Technology
AIIXY,AIXTRON SE,Technology
PD,"PagerDuty, Inc.",Technology
SPMYY,Spirent Communications plc,Technology
SIMO,Silicon Motion Technology Corporation,Technology
SEMR,"Semrush Holdings, Inc.",Technology
IBTA,"Ibotta, Inc.",Technology
KNNNF,Kainos Group plc,Technology
ADEA,Adeia Inc.,Technology
BHE,"Benchmark Electronics, Inc.",Technology
AIXXF,AIXTRON SE,Technology
JNPKF,Jenoptik AG,Technology
BTDR,Bitdeer Technologies Group,Technology
KN,Knowles Corporation,Technology
MLNK,"MeridianLink, Inc.",Technology
WEMXF,Weimob Inc.,Technology
LCTSF,Lectra SA,Technology
VOBIF,Vobile Group Limited,Technology
BCNAY,Barco NV,Technology
KARO,Karooooo Ltd.,Technology
ACMR,"ACM Research, Inc.",Technology
DFIN,"Donnelley Financial Solutions, Inc.",Technology
NABL,"N-able, Inc.",Technology
AWEVF,Alphawave IP Group plc,Technology
AITUY,Anritsu Corporation,Technology
JPAVF,"Japan Aviation Electronics Industry, Limited",Technology
ATEN,"A10 Networks, Inc.",Technology
TASK,"TaskUs, Inc.",Technology
VYX,NCR Voyix Corporation,Technology
CTS,CTS Corporation,Technology
HIMX,"Himax Technologies, Inc.",Technology
SPT,"Sprout Social, Inc.",Technology
UPBD,"Upbound Group, Inc.",Technology
MGPPF,Megaport Limited,Technology
PLAB,"Photronics, Inc.",Technology
NGRRF,Nagarro SE,Technology
FLYW,Flywire Corporation,Technology
CCCMF,Cancom SE,Technology
ADVOF,Adtran Networks SE,Technology
SSLLF,Siltronic AG,Technology
VSAT,"Viasat, Inc.",Technology
GDYN,"Grid Dynamics Holdings, Inc.",Technology
SNCPF,Sun Corporation,Technology
TUYA,Tuya Inc.,Technology
DAVE,Dave Inc.,Technology
AIUG,"AI Unlimited Group, Inc.",Technology
AMPL,"Amplitude, Inc.",Technology
YALA,Yalla Group Limited,Technology
ELCMF,"Elecom Co., Ltd.",Technology
FXCNF,FIH Mobile Limited,Technology
HLIT,Harmonic Inc.,Technology
AITUF,Anritsu Corporation,Technology
VECO,Veeco Instruments Inc.,Technology
BCNAF,Barco NV,Technology
DAVA,Endava plc,Technology
ENFN,"Enfusion, Inc.",Technology
ROG,Rogers Corporation,Technology
VRNT,Verint Systems Inc.,Technology
OLO,Olo Inc.,Technology
EXOD,"Exodus Movement, Inc.",Technology
COVCF,COVER Corporation,Technology
EGHSF,Enghouse Systems Limited,Technology
SONO,"Sonos, Inc.",Technology
DGII,Digi International Inc.,Technology
INOD,Innodata Inc.,Technology
ML,MoneyLion Inc.,Technology
DTTLY,Datatec Limited,Technology
SWDHF,Skyworth Group Limited,Technology
VTEX,VTEX,Technology
DQ,Daqo New Energy Corp.,Technology
BELFB,Bel Fuse Inc.,Technology
SWONF,SoftwareOne Holding AG,Technology
FRRZF,Ferrotec Holdings Corporation,Technology
RDWR,Radware Ltd.,Technology
NXLLF,Nuix Limited,Technology
CRCT,"Cricut, Inc.",Technology
DCBO,Docebo Inc.,Technology
PSFE,Paysafe Limited,Technology
MDCKF,CHAPTERS Group AG,Technology
TSAT,Telesat Corporation,Technology
MXL,"MaxLinear, Inc.",Technology
JSCIF,Judges Scientific plc,Technology
ADSGF,adesso SE,Technology
PENG,"Penguin Solutions, Inc.",Technology
IIIV,"i3 Verticals, Inc.",Technology
UCTT,"Ultra Clean Holdings, Inc.",Technology
CTSDF,Converge Technology Solutions Corp.,Technology
APLD,Applied Digital Corporation,Technology
AUKUF,ams-OSRAM AG,Technology
DSP,Viant Technology Inc.,Technology
TRCLF,transcosmos inc.,Technology
JKS,"JinkoSolar Holding Co., Ltd.",Technology
BLND,"Blend Labs, Inc.",Technology
VMEO,"Vimeo, Inc.",Technology
SABR,Sabre Corporation,Technology
YEXT,"Yext, Inc.",Technology
PBTDF,Plover Bay Technologies Limited,Technology
BASE,"Couchbase, Inc.",Technology
ATHGF,Auction Technology Group plc,Technology
PRO,"PROS Holdings, Inc.",Technology
QUBT,Quantum Computing Inc.,Technology
FSLY,"Fastly, Inc.",Technology
SCSC,"ScanSource, Inc.",Technology
AMSSY,ams-OSRAM AG,Technology
SEDG,"SolarEdge Technologies, Inc.",Technology
COMM,"CommScope Holding Company, Inc.",Technology
BELFA,Bel Fuse Inc.,Technology
HCKT,"The Hackett Group, Inc.",Technology
ASNFF,--,Technology
TMOAY,TomTom N.V.,Technology
PGY,Pagaya Technologies Ltd.,Technology
FDRVF,FD Technologies plc,Technology
MGIMF,--,Technology
CGNT,Cognyte Software Ltd.,Technology
TIXT,TELUS International (Cda) Inc.,Technology
FXCNY,FIH Mobile Limited,Technology
CINT,CI&T Inc.,Technology
BTRCF,Better Collective A/S,Technology
ITRN,Ituran Location and Control Ltd.,Technology
HANOF,--,Technology
PDFS,"PDF Solutions, Inc.",Technology
ARRY,"Array Technologies, Inc.",Technology
COHU,"Cohu, Inc.",Technology
MGIC,Magic Software Enterprises Ltd.,Technology
SSYS,Stratasys Ltd.,Technology
DRSHF,DroneShield Limited,Technology
NTGR,"NETGEAR, Inc.",Technology
BBAI,"BigBear.ai Holdings, Inc.",Technology
UBLXF,u-blox Holding AG,Technology
CRSR,"Corsair Gaming, Inc.",Technology
AIOT,"PowerFleet, Inc.",Technology
RBBN,Ribbon Communications Inc.,Technology
SESMF,SÜSS MicroTec SE,Technology
RSKD,Riskified Ltd.,Technology
MLAB,"Mesa Laboratories, Inc.",Technology
NPACY,Quadient S.A.,Technology
ETWO,"E2open Parent Holdings, Inc.",Technology
NPACF,Quadient S.A.,Technology
CAZGF,Catapult Group International Ltd,Technology
XFABF,X-FAB Silicon Foundries SE,Technology
JNVR,Janover Inc.,Technology
WACMF,"Wacom Co., Ltd.",Technology
ADTN,"ADTRAN Holdings, Inc.",Technology
EVTZF,Evertz Technologies Limited,Technology
GBDMF,"Global Dominion Access, S.A.",Technology
ICHR,"Ichor Holdings, Ltd.",Technology
DAKT,"Daktronics, Inc.",Technology
IMOS,ChipMOS TECHNOLOGIES INC.,Technology
NDDLF,Nedap N.V.,Technology
SHLS,"Shoals Technologies Group, Inc.",Technology
SMWB,Similarweb Ltd.,Technology
CTLP,"Cantaloupe, Inc.",Technology
OKIEY,"Oki Electric Industry Co., Ltd.",Technology
TMOAF,TomTom N.V.,Technology
OSPN,OneSpan Inc.,Technology
CEVA,"CEVA, Inc.",Technology
PRTH,"Priority Technology Holdings, Inc.",Technology
PRCH,"Porch Group, Inc.",Technology
FNCHF,FINEOS Corporation Holdings plc,Technology
HTROF,Hexatronic Group AB (publ),Technology
VARXF,BOE Varitronix Limited,Technology
GCT,GigaCloud Technology Inc.,Technology
