titles,reviews
런 온,"소통이 힘든 시대에 서로 다른 세계에 살던 남녀 주인공이 소통을 하게 되는 성장 로맨스 드라마. 남주 여주의 케미 서브 남주 여주의 케미 모두 완벽소설 같은 드라마. 맑고 따뜻하고 선명한 드라마. 깔끔하게 떨어지는 캐릭터들. 마음을 간지럽히는 관계들. 너무 좋았다.마음에 위안을 주는 대사들+역대급 남주여주캐미!!! 겸미커플 못잃어~~~정말 두말할 필요가 없어요. 여러 사회 문제에 대해서 생각해 보고 깊이 토론도 할 수 있는 드라마라고 생각해요.드라마 자체가 분위기가 너무 좋고 임시완 배우님이랑 신세경 배우님 덕에 눈호강 진짜 제대로네요ㅎㅎ기선겸 캐릭터는 누구나 사랑할 수 밖에. 두사람의 썸에 같이 설레었어요. 그건 이미 하고있는데~~~~😍오, 미주! 당신을 사랑하지 않을 자신이 없다.임시완의 두 번째 멜로연기연출도 대본도 배우들 합도 좋은 다시 없을 인생 드라마ㅠㅠ 끝까지 행복했어요! 중간에 들어가는 패러디 장면들도 이 드라마의 묘미“섬세하고 다정한 사람들이 잘 살았으면 좋겠어. 상냥한 사람들이 바보 취급 당하지 않았으면 좋겠어.”대사 맛집, 티키타카 맛집, 딕션 맛집<런 온> 결과와 과정 사이를 줄 타는 로맨스세상 따뜻한 드라마. 오미주 기선겸 케미 너무좋아요ㅜㅜ캐릭터들간의 독특한 소통방식이 좋다. 성향이 너무 다른 이들이 너무 다른 언어로 말하고, 결국 그 것이 맞닿고 하나로 이어진다. 그게 우리 삶 아닐까. 그리고 기선수 사랑함♥ㅋ哈哈哈哈哈哦哦哦嘿嘿！run on俺来噜～好看不用多说了 very nice！懂得都懂！Very good-looking, highly recommended！ 여러분 가보길 적극 추천해요.다정하고 따뜻한 드라마 서로 다른 사람들이 만나 이해하고 존중하며 관계를 만들어가는 예쁜 드라마😍아 겸미커플 개사랑해ㅠㅠㅠㅠㅠ♡♡♡♡무엇을 '계속하는'것은 중요한게 아니다.다만 누구와 '계속하는'것은 중요하다세상을 인용하고 자기 언어를 타자에게 번역하는 일모든 편견과 모든 클리셰를 깨버린 잔잔하면서도 담백한 드라마런온! 미모폭탄!청량큐트😍선겸님 아니 시완님이랑 세경님의 명연기를 볼 수 있습니다! 너무 잘 맞는 얼굴합에ㅠㅠ설렘가득 로맨스까지!🍀🩷 스토리도 좋지만 얼굴보는 맛이 좋습니다!최고의 할링드라마.. ㅠㅠ 씨네필들이라면 곳곳에 숨어있는 오마주들을 찾는 소소한 즐거움이 있을듯완벽한 남주와 완벽한 여주. 주인공들이 너무 좋았던 그저 좋았던 드라마입니다.생각날 때마다 계속 돌려보는 드라마. 명대사가 많아서 좋음.미주와 선겸이 보면 따뜻해지고 좋은 작품이였어요 신세경배우 너무 예쁘다과한 컨셉과 대사들이 있긴 하지만 그래도 위로를 주는 대사들이 더 많다 무엇보다 주연 두명의 얼굴이 위로가 된다이런 사랑을 하고 싶다고 꿈꾸게 만드는 드라마 상방구원 서사가 인상 깊다너무 재미있게 봤어요 배우들 연기도 좋았어요인생 드라마 런 온"
또! 오해영,달고 짜고 썼던 현실연애 이야기
엄브렐러 아카데미 시즌 1,보면 볼수록 빠져드네블로그 리뷰서로를 용서하는 것이 지구 종말을 막는 일 보다 훨씬 어려운 한 가족의 이야기영드같은 미드. 그래서 좋다!!! 시즌 2가 더 재미짐~
오티스의 비밀상담소 시즌 1,성적인 것을 넘어서서 청소년들에게 정말 많은 정보와 깨달음을 주는 드라마.유치할 줄 알았는데 하나도 가볍지 않은 이야기를 고등학생 시점으로 풀어내서 좋았다.16살들이 열심히 성장한다. 그리고 모두를 상담해주고 통제한다고 스스로 착각하는 진 밀번 여사도 성장할 것이다. 나이 불문 다양한 관계들이 도움을 받을 듯. 200518얘기하는 것들은 정말 좋은데 평균 이하의 스토리와 연출이 아쉽다. 동성애는 왜 이렇게 못그리는지..이렇게까지 솔직하게 끌어당기는 작품도 오랜만이다..
브루클린 나인-나인 시즌 1,"순식간에 빠져드는 매력적인 캐릭터 시트콤.보는 내내 행복함. 미국식 개그를 사랑한다면 무조건 봐야하는 시트콤진짜 너무 웃겨서 육성으로 웃으면서 볼 수 있음매회 터지는 코믹함에 지루할만하면 추가되는 추리의 맛 시즌 몇개는 어느 순간 순삭섹스테이프 농담 좀 그만하면 더 볼 수 있을 텐데사랑스러운 캐릭터들과 아담 샘버그의 신들린 로코시즌1 최고다. 시트콤을 볼 때 딱 이런 걸 기대하면서 보는데 기대를 완벽히 충족한다. 로맨스 비중은 이 정도가 딱 적당하다. 더 설명할 것도 없이 시트콤의 정석이라 생각한다.여하튼 이제 화장실에 가서 울어야겠네요, 잘 지내세요🖕.유머, 감동 모든 것을 갖춘 완벽한 시트콤.소확행? NO! 대확행? YES!정신놓고 보기 최고 2019.02.21진짜 배우들 개좋다 ㅋㅋㅋㅋㅋ 앤디 샘버그, 멜리사 푸메로 둘이 너무 좋다 진짜 매력 터진다. 배우들이나 스토리나 배경이나 모든게 사랑스럽다 최고다"
지붕 뚫고 하이킥,"진짜 너무 재밋게봤는데, 끝이 그렇게 끝나버릴줄이야ㅠ 너무 생각치도 못한반전에 내마음 다침ㅠㅠ신신에 신세경 자매가 극발암결말까지 해피해피했다면 더 기억에 남았을텐데. 그래도 이때의 감성과 재미는 추억이고, 로맨스와 가족이야기, 코미디 모두 잘 조화를 이룬 시트콤내가 가장 좋아하는 시트콤 드라마 중 하나. 요즘도 시간 날 때마다 유튜브로 시청중.진짜 너무 재밌었다. 다들 연기력도 좋았고 웃긴 드라마라 너무 편하게 배꼽잡고 볼수 있었던 드라마다이러나저러나 가장 기억에 남는 하이킥시트콤 더 주세요지정러 아니면 겸상 안한다ㅋㅋㅋㅋn번째 정주행 중하이킥 시리즈 중 가장 먼저 생각나는 레전드 하이킥intersting거침보단 밑유튜브 짤로 다 봤오요 그냥 배꼽 떨어집ㄴ니다거침킥에서 5년도 안 지났는데 너무 도시의 그 삭막한 냄새가 나서... 겨우 봤다 세경신애... 행복하길 바라...뻔하지않은결말이 충격적이었지만 캐릭터들의 러브라인을구경하는재미와 추측이쏠쏠했던 시트콤오분순삭으로 재감상 중인데 정말 명작이다.해리랑 신애 못잊어하이킥은 역사에 남을 두고두고 회자될 시트콤몇 년이 지나고 봐도 전혀 어색하지 않은 한국 시트콤. 2000년대 후반 2010년대 전체 한국의 모습을 다양한 시점의 인물로부터 보고 싶다면 이 드라마가 최고이지 않을까.이런 결말이 아니면 죽는 병이라도 걸렸나?하이킥 믓찌게시트콤이라 부담없이 재밌게 볼수있음결말만 아니었어도...잘 뚫었다커쥬어마이걸~ -카페베네-점점 시트콤이 아니라 드라마가 돼서 아쉽다."
치아문난난적소시광: 우리의 따뜻했던 시절에게,한국제품이 중간 중간 나와서 좋았다. 부담없이 볼 수 있는 다큐같은 느낌의 드라마 우리 주변에서도 있을 법한 이야기너무재밌게 봤어요-치아문 중 가장 나은 시리즈. 한 집 살이가 비현실적이지만 케미가 돋보이고 소소하면서도 귀여운 사랑이 즐겁게 했다.준수하게 만든 로코잔잔하고 귀여운 혐한작가의 이야기
섹스 앤 더 시티 시즌 1,"좋은 작품이 있다. 그리고. 몇 번씩 보는 작품이 있다. 나 이 시리즈만 5번 봤다.뉴욕이란 도시에 열망을 갖게 한 시리즈 봐도봐도 시즌1이 가장 좋다뉴욕 워커홀릭 여성, 여성이 섹스에 개방적이라면? 이라는 상상에서 시작한 현실 판타지 시대극. 정말 말도 안됐던 일이, 너무 자연스러워서 센세이션! 일과 사랑 다 챙기고 싶다면!#진짜재밌고 패션보는것도 좋고 그런데 종종 선넘어서 보기불편한부분 생김 근데 재밌긴해 ㅜㅜ볼때마다 재밌다 ㅋㅋㅋㅋ인생 바이블몇년간격으로 한번씩보는데 영화말고 요 티비시리즈가 진또배기시즌이 갈수록 인물들이 이해가 되며 몰입할수 있다. 영화로 나온 시리즈가 날 실망시켰지만, 그래도 드라마 시리즈 자체는 너무 재밌다 ☺️최애"
굿 걸스 시즌 1,"시즌 1은 완벽. 그러나 그 이후는?굿걸스 시즌1역시 미드는 시즌1이 제일 재밌다기분 좋게 시즌1 스타트각자의 가정을 지키기 위한 강도가 된 세 여자. 꼬여가는 상황속 초보 범죄자들의 우당탕당 고군분투 이야기 시즌이 거듭될수록 막장이 되가는건 아쉽지만 시즌1 만큼은 추천하고싶다.주부들의 일탈. 그럴싸해서 더 재밌다 근데 시리즈가 많네..? 시리즈가 많으면 뒤로 갈수록 용두사미여서 걱정된다굿걸스 시즌 1,2는 진짜 재밌는데ㅠ먹고 살자고 했던 일이잖아요"
수박,"아기자기하고 마음 따뜻해지는 인생 일드! 이걸 보면 무조건 해피니스 산차에 놀러가고 싶을 것이다아는 사람은 아는, 아는 사람만 아는 -저조했던 시청률에도 불구하고 두고두고 회자되는 수작.잔잔한듯 마음을 울리는 명작혼자 사는 게 편해질수록 해피니스산챠에서 함께하는 식사시간의 소중함을 알게되는 것 같다"
더 그레이트 시즌 3,시즌3 는 어디서 보나요??토니 맥나마라는 미쳤다……. 더그레이트 나한테 뭔짓했냐……
빌런의 나라,그냥 환장할 시트콤.생각없이 편하게 보면서 웃는 드라마에요~~은근 잼있어요~~~ㅎㅎㅎㅎㅎㅎㅎ 계속했으면 좋겠는데 왜 끝나는거에요ㅠㅠ
더 오피스 시즌 8,마이클이 없으니 예전같지 않다..마이클의 자리를 채우긴 힘든 앤디. 제임스 스페이더의 캐릭터는 개성이 강하지만 잘 녹아들진 못한다.
더 스튜디오,카메오 라인업이 엄청남
술꾼도시여자들,"한 회 분량이 짧아서 금방 볼 수 있었고, ott 서비스라서 그런지 필터링 없는 욕도 흥미로웠다. 가볍지 않은 소재를 적절히 활용해서 긴장감도 유발되었다. 킬링타임용으로 추천!아무 생각 없이 보기 좋은 드라마 나도 술친구 중 한명이 된 기분보는 내내 내가 술마시는 기분. 머리가 어질어질했던 드라마. 너무 재미있었지만 술을 못 마시는 나에게 술 마시는 기분을 줬다.한선화의재발견^^ 연기를 너무찰떡같이잘해서 놀랐어요^^ 배우들모두 몸을 사리지않는 연기 너무좋았어요^^같이 술마시면서 보기 좋았던 작품!1화가 너무 노잼이라 그게 큰 벽임이게 진짜 사람들이 바라는 청춘이지 뭐겠어아무리 술쟁이라고 욕해봐라 덕분에 술마실 구실 생기는거지 힘들어도 마시고 슬퍼도 마시고 화나도 마시고 기쁘면 더 마시자!!!!!!!! 혼술러들의 최고 술친구배우들 연기도 너무 코미디로 잘하고 슬펐다가 웃어다가 반복한 드라마임"
김비서가 왜 그럴까,"웹툰의 실사화는 1등 그림체를 완벽 재현했으나 그뿐 전형적인 로맨스로 16부작은 너무 길다고구마전개살짝 그래도 이불킥하면서 보기좋았던 드라마 박서준도 로코가 짱인듯👍적당히 가볍고 보기 쉬웠다. 박서준의 잘난척이 너무 잘 어울렸다.두 배우의 케미가 너무 잘 어울렸던 작품다음회차가 기다려지는 드라마 눈이 즐거웠던 드라마웹툰 원작이라 살짝 오글거리긴 하지만 그걸 충분히 배우들의 연기력으로 커버치는듯로코의 정석! 두 배우가 왜 로코의 대명사인지 알 수 있다. 설레고 웃기고 다 한다. 로코를 좋아한다면 추천!오피스로코는 김비서지싱크로율 ㅇㅈ 근데 넘 유치해여박서준이 말아주는 로코란 …말해뭐해 박민영의 스타일링이 좋았구 웹툰이 좋았어서 재밌게봤다설레는 로코물. 박민영 짱 예쁨 (이태환 연기 때문에.. 이태환 부분 다 스킵하고 봄)스토리도 빵빵해서 너무 재밌었고 배우들도 좋아서 완벽한 드라마임가볍게 보기 좋은 드라마! 로맨스가 진한 맛으로 들어가서 그런지 확실히 재밌었다박서준 얼굴만 보인다…넘잘생갸ㅛ다드라마 진짜 재미있게 봤어요로맨스는 케미다!생각했던 것 보다 어울리지 않았던 조합.. 설레지 않는 로코로코 불도저 박서준 또 해주라로코 장인이 말아 줘야 로코가 된다! 애매한 로코는 유치할 뿐이겠지만 박서준&박민영이라면 역시.중간 내용이 지루할 정도로 길고 남주의 캐릭터 설정이겠지만 대사를 어색하게 하는게 몰입도가 떨어진다중간중간 납치햇던 여자나올때 무서워서 눈가리고 봤는데 영준이가 너무 머싯어서 볼 수 밖에 없던 드라마이다. 이드라마의 매력은 남주 영준의 아우라가 아닐까 생각한다. 연기도 쵝오!제 인생 드라마 입니다.. 생각날 때마다 보면 재밌어요언니가 재밌다고 보라고 추천해줘서 봤는데 웹툰보다 재밌네요.ㅎ영준이 이녀석..재미 있고 소소하게 볼 만한데 그렇게 깊이 있는 작품도 아니고 지루할 수 있다. 그래도 이런 오글거림이 좋다면 볼 만함배우들의 케미가 돋보이는 드라마평범한 이야기, 비범한 비주얼"
빅뱅이론 시즌 1,"너드 개그의 완성품. 고난도의 개그가 섞여있어서 영어권 혹은 이과가 아니라면 이해하기 힘든 부분들이 있으나 자세히 모르더라도 충분히 재밌다.미국 시트콤의 혜성 등장쉘던 처음에 이해안가고 사회부적응자같았는데 매력있어요페니 똑똑 페니 똑똑 페니레너드의 sarcasm을 배꼽 잡고 웃으면서 봤던 미드너무 전형적인 너드 개그 투성이지만 빌드업과 타이밍, 완급 조절이 환상적이라서 안 웃을 수가 없었음빅뱅이론은 이제 내 쌀밥, 밥반찬, 밥친구시간가는줄 모르고 본 드라마시즌을 거듭할수록 빅뱅이론에 동화되어 간다. 전부 다 사랑스러워 보이기 시작했을 때야 그걸 느꼈다.진짜 개웃김 ㅋㅋㅋㅋ 강추내 인생 미드 너무 정들었어ㅜㅜ웰메이드 시트콤. 처음에는 이게 뭔가 싶었는데 어느새 개그코드가 빅뱅이론에 동화되어간다.이장원을 쉘던으로 한국판 빅뱅이론 만들어보자고요빠지면 큰일나는 너드들의 매력.좆같은데 계속 보게되네 ㅅㅂ - 2020.09.23재밌는 캐릭터들의 조합. 결국 완결까지 보게됨.명작의 시작. 모든 캐릭터가 독특하고 비범하며 사랑스럽다.초반은 억지 설정인가하고 턱괴고 봤는데 후반기에 개그폼 완전 좋음ㅋㅋ 쉘든 레너드 하워드 페니 다 매력터짐아 왜이래요 스타워즈 몰라요? 배트맨 몰라요? 아이언맨 몰라요? 그럼 과학은 좋아하시나요? 싫어하면 싫어하는 대로 여주인공에 몰입해서 보면됨"
