symbol,title,summary,category
XOM,OMV (OMVKY) Surges 6.4%: Is This an Indication of Further Gains?,OMV (OMVKY) saw its shares surge in the last session with trading volume being higher than average. The latest trend in earnings estimate revisions could translate into further price increase in the near term.,Energy
XOM,Chevron Scales Up Triple-Frac Technology in Permian for Big Gains,"CVX plans to use triple-frac in more than half of its Permian wells in 2025, reducing costs by 12% and accelerating output to boost production levels.",Energy
XOM,Brokers Suggest Investing in Exxon (XOM): Read This Before Placing a Bet,"The average brokerage recommendation (ABR) for Exxon (XOM) is equivalent to a Buy. The overly optimistic recommendations of Wall Street analysts make the effectiveness of this highly sought-after metric questionable. So, is it worth buying the stock?",Energy
XOM,Investors Heavily Search Exxon Mobil Corporation (XOM): Here is What You Need to Know,"Exxon (XOM) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.",Energy
XOM,"Oil & Gas Stock Roundup: ExxonMobil & Shell Q1 Updates, Tariff Woes","XOM, SHEL, RES, EQNR and MTDR emerge as the energy headline makers during the week.",Energy
XOM,Trade War Tariffs Slam Oil Prices to 4-Year Lows Amid Recession Fears,"Oil price plunges below $60, dragging oil majors like XOM, CVX, and SHEL lower. Trade war tariffs and OPEC+ supply surge shake up global energy markets.",Energy
XOM,AFRM and RH have been highlighted as Zacks Bull and Bear of the Day,AFRM and RH have been highlighted as Zacks Bull and Bear of the Day.,Energy
XOM,Sector Update: Energy Stocks Fall Late Afternoon,"Energy stocks were lower late Tuesday afternoon, with the NYSE Energy Sector Index falling 3% and th",Energy
XOM,Why ExxonMobil Stock Soared 10.6% in Q1 While the S&P 500 Had Its Worst Quarter Since 2022,ExxonMobil stock's potential cash flow and dividend growth make it a buy.,Energy
XOM,SSL or XOM: Which Is the Better Value Stock Right Now?,SSL vs. XOM: Which Stock Is the Better Value Option?,Energy
XOM,Chevron to Begin Pipeline Preparations in Eastern Mediterranean,"CVX is set to begin a seabed survey to link Cyprus' Aphrodite gas field to Egypt, boosting regional energy ties.",Energy
XOM,Is Exxon Mobil Corporation (XOM) the Best American Energy Stock to Buy Now?,"We recently published a list of 11 Best American Energy Stocks to Buy Now. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other best American energy stocks to buy now. On Friday, April 4, oil futures reached multiyear lows following China’s response to the tariffs imposed […]",Energy
XOM,Exxon Mobil price target lowered to $135 from $146 at UBS,"UBS analyst Josh Silverstein lowered the firm’s price target on Exxon Mobil (XOM) to $135 from $146 and keeps a Buy rating on the shares. The firm sees Energy viewed as a recession downside play, the analyst tells investors in a research note. UBS lowered its price target reflecting increased uncertainty around economic activity and commodity prices. Published first on TheFly – the ultimate source for real-time, market-moving breaking financial news. Try Now>> See the top stocks recommended by a",Energy
XOM,Worried About Tariffs? Keep a Watch on 2 Energy Giants: XOM & CVX,Can Chevron and ExxonMobil sail through the current turbulent tariff-induced business environment?,Energy
XOM,Exxon Mobil (XOM) Declines More Than Market: Some Information for Investors,"Exxon Mobil (XOM) closed at $102.94 in the latest trading session, marking a -1.34% move from the prior day.",Energy
XOM,"Company News for Apr 7, 2025","Companies in The News Are: BIDU, AVGO, XOM, NKE",Energy
XOM,Exxon Mobil Corporation (XOM): Among the Best Beginner Stocks,"We recently published a list of Starter Stock Portfolio 12 Safe Stocks to Buy. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other best beginner stocks. The US stock market has experienced a turbulent first quarter of 2025, marked by increased volatility and negative returns […]",Energy
XOM,ExxonMobil Expects to Report a Profit Gusher in Q1. Can It Repeat That Feat With Crude Prices Falling?,ExxonMobil (NYSE: XOM) recently gave investors a glimpse into its upcoming first-quarter earnings report. A combination of higher oil and natural gas prices and improving oil refining margins helped fuel the increased profitability. Crude prices have crumbled due to concerns about how higher tariffs will impact the global economy.,Energy
XOM,Energy Stocks Are Soaring. 3 High-Yield Oil Stocks to Buy Now.,"The move may come as a surprise, given that the U.S. benchmark oil price, West Texas Intermediate, is $69.36 per barrel compared to an average of $76.63 in 2024. Here's why ExxonMobil (NYSE: XOM), Chevron (NYSE: CVX), and ConocoPhillips (NYSE: COP) stand out as three balanced dividend stocks to buy now. ExxonMobil, Chevron, and ConocoPhillips all have clear paths toward delivering strong free cash flow (FCF) even at current oil prices.",Energy
XOM,Exxon Mobil (NYSE:XOM) Faces Pressure From New Tariffs As Energy Stocks See Turmoil,"In recent market turmoil, the Dow fell 2,200 points, the S&P 500 dropped 6%, and the Nasdaq entered a bear market, fueled by new tariffs and economic uncertainty. Amidst this backdrop, energy stocks faced declines, and Exxon Mobil (NYSE:XOM) experienced a flat price move for the month. The tariffs added pressure on oil prices, dragging down West Texas Intermediate futures and affecting the broader energy sector's outlook. Despite these challenges, Exxon's performance aligned with the market's...",Energy
XOM,"As Fear Grips Markets, These Industry-Leading Stocks Look Like Bargains","Investors are fearing the worst, but bargain-hunters should consider well-regarded stocks that have been hit hard in recent weeks.",Energy
XOM,Understanding ExxonMobil's Strategic Moves in Energy Markets,What Factors Affect ExxonMobil's Refining Margins?,Energy
XOM,U.S. Oil Price Skids To 4-Year Low; Goldman Slashes Oil Outlook,Oil price could fall as low as $50 as Saudis launch price war. Gasoline prices set to be a bright spot in Trump's trade war.,Energy
XOM,ExxonMobil Expects Earnings Boost in Q1 From Higher Commodity Prices,"XOM expects higher oil and natural gas, and stronger oil refining margins to boost first-quarter earnings by $900 million.",Energy
XOM,"Exxon Eyes $800M Earnings Boost from Oil, Gas Price Surge","Exxon says price shifts and timing effects could boost Q1 profit, but specialty unit may face margin pressure",Energy
XOM,"The Magnificent 7, Exxon, Nike, Lululemon: Stocks to watch today","Stocks may extend their post-tariff sell-off Friday after China retaliated with its own 34% duties on all U.S. goods, restrictions on rare earth exports, and other measures. Futures linked to the S&P 500, Nasdaq 100, and Dow Jones Industrial Average are all pointing to a lower open.",Energy
XOM,Alibaba and KB Home have been highlighted as Zacks Bull and Bear of the Day,Alibaba and KB Home are part of the Zacks Bull and Bear of the Day article.,Energy
XOM,Exxon Mobil Projects Sequential Earnings Bump On Energy Price Swings Ahead Of Q1 Report,"Exxon Mobil Corporation (NYSE:XOM) shares are trading lower premarket on Friday. The oil giant anticipates changes in oil prices to add first-quarter Upstream earnings quarter-over-quarter by $0.0 billion to $0.4 billion. Also, changes in gas prices are expected to add to its Upstream results by $0.0 billion and $0.4 billion compared to the fourth quarter. Also, Exxon Mobil projects that variations in industry margins will positively impact Energy Products earnings by $0.3 billion – $0.7 billion",Energy
XOM,"The Zacks Analyst Blog Highlights Exxon Mobil, Bristol-Myers Squibb, Chubb and Hamilton Beach Brands","Exxon Mobil, Bristol-Myers Squibb, Chubb and Hamilton Beach Brands are part of the Zacks top Analyst Blog.",Energy
XOM,ExxonMobil's Shares Witness Volume Drop: How Should You Play the Stock?,XOM can also lean on its strong balance sheet when its business scenario turns volatile and uncertain.,Energy
XOM,Sector Update: Energy Stocks Fall Premarket Thursday,"Energy stocks were falling premarket Thursday, with The Energy Select Sector SPDR Fund (XLE) 5% lowe",Energy
XOM,Energy Stocks Defy Turmoil as Trump Tariffs Rattle Markets,"The energy sector has climbed year to date, in contrast to the broader market's decline, driven by leaders like ExxonMobil, Chevron and Devon Energy.",Energy
XOM,How To Earn $500 A Month From Exxon Mobil Stock Ahead Of Q1 Earnings,"Exxon Mobil Corporation (NYSE:XOM) will release its first-quarter financial results after the closing bell on Thursday, April 3. Analysts expect the company to report quarterly earnings at $1.70 per share, down from $2.06 per share in the year-ago period. Exxon Mobil projects quarterly revenue of $86.09 billion, compared to $83.08 billion a year earlier, according to data from Benzinga Pro. On Wednesday, Exxon Mobil disclosed that Karen T. McKee, president of ExxonMobil Product Solutions Company",Energy
XOM,ExxonMobil's Global Business Solutions Head to Lead Product Solutions Unit After McKee's Retirement,Crocker currently serves as president of Global Business Solutions and has been with ExxonMobil since 1995.,Energy
XOM,"Top Research Reports for Exxon Mobil, Bristol-Myers Squibb & Chubb","Today's Research Daily features new research reports on 16 major stocks, including Exxon Mobil Corporation (XOM), Bristol-Myers Squibb Company (BMY) and Chubb Limited (CB), as well as a micro-cap stock Hamilton Beach Brands Holding Company (HBB).",Energy
XOM,Zacks Investment Ideas feature highlights: Chevron and Exxon Mobil,Chevron and Exxon Mobil are part of the Zacks Investment Ideas article.,Energy
XOM,ExxonMobil to upgrade Louisiana plant with over $100M investment,The Baton Rouge chemical facility plans to produce ultra-pure isopropyl alcohol for the growing semiconductor industry by 2027.,Energy
XOM,Bet on Big Oil Stocks as a Defensive Hedge Against Market Volatility?,"With crude oil prices rising to over $70 a barrel again, the energy sector has been the best-performing subsector of the S&P 500 this year.",Energy
XOM,Exxon Mobil (XOM) Outperforms Broader Market: What You Need to Know,"In the closing of the recent trading day, Exxon Mobil (XOM) stood at $118.93, denoting a +1.02% change from the preceding trading day.",Energy
XOM,BP Approves Ginger Gas Project Offshore Trinidad & Tobago,"BP moves ahead with its Ginger gas project in Trinidad, adding to its growing offshore portfolio and advancing its $10B annual upstream investment plan.",Energy
XOM,Is Exxon Mobil Corporation (XOM) the Best Oil and Gas Dividend Stock According to Billionaires?,"We recently published a list of the 12 Best Oil and Gas Dividend Stocks According to Billionaires. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other best oil and gas dividend stocks to invest in according to billionaires. The United States of America is now […]",Energy
XOM,4 Prominent Permian Basin Stocks Worth Keeping on Your Radar,"EOG, FANG, XOM and CVX are well-positioned to benefit from the Permian Basin's ongoing expansion, making them must-watch for energy-focused investors.",Energy
XOM,Exxon Mobil (XOM): One of the Best Dividend Aristocrat Stocks with Over 3% Yield,"We recently published a list of the 15 Best Dividend Aristocrat Stocks with Over 3% Yield. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other best dividend aristocrats with a high yield. Dividend Aristocrats are the companies that have raised their payouts for 25 consecutive […]",Energy
XOM,"1 Stock to Buy, 1 Stock to Sell This Week: ExxonMobil, General Motors","• Trump tariff ""Liberation Day"" and the latest jobs report loom in the week ahead.",Energy
XOM,"Even Though Oil Prices Are Down, These 3 Energy Stocks Have Plenty of Fuel to Continue Growing","Crude oil prices have slumped about 15% over the past year. ExxonMobil (NYSE: XOM), Plains All American Pipeline (NASDAQ: PAA), and Chevron (NYSE: CVX) stand out to these three Motley Fool contributors for their ability to thrive amid oil price volatility.",Energy
XOM,Jim Cramer Prefers Chevron Over Exxon Mobil Corporation (XOM),"We recently published a list of Was Jim Cramer’s Call Right on These 10 Stocks? In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other stocks that Jim Cramer discussed 12 months ago. Back then, the show was heavily focused on the biggest media companies and […]",Energy
XOM,Should You Reconsider Occidental Petroleum and Buy These 2 Oil Giants Instead?,"Warren Buffett, the CEO of Berkshire Hathaway, is followed with almost religious zeal on Wall Street. Occidental Petroleum (NYSE: OXY) has received Buffett's support. It may seem like a lifetime ago at this point, but in 2019 Chevron (NYSE: CVX) was attempting to buy Anadarko Petroleum.",Energy
XOM,BP CEO’s Plan to Catch Exxon and Chevron: Make More Cash From the Gulf,BP CEO Murray Auchincloss says that the oil major is on the cusp of churning out much more cash than previously.,Energy
XOM,Is ExxonMobil Stock a Buy Now?,"The company is still pumping out vast quantities of fossil fuels, but global economic uncertainty could spell trouble for its business.",Energy
XOM,Is Exxon Mobil (XOM) the Low Volatility Stock to Buy According to Billionaire Ken Fisher?,"We recently published a list of 10 Low Volatility Stocks to Buy According to Billionaire Ken Fisher In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other low volatility stocks to buy according to billionaire Ken Fisher. Billionaire Ken Fisher, a prominent money manager, renowned author, […]",Energy
XOM,ExxonMobil's Billion-Dollar Growth Plan,"XOM fuels growth with record profits, shareholder returns, and a bold carbon capture play.",Energy
XOM,"Rubio Warns Venezuela Against Attacking Guyana, Exxon",(Bloomberg) -- US Secretary of State Marco Rubio warned Venezuela that any attempt to invade Guyana or threaten Exxon Mobil Corp.’s operations in the country would be a “very bad move.” Most Read from BloombergWhy Did the Government Declare War on My Adorable Tiny Truck?Gold-Rush Fever Returns to Historic New Zealand Mining TownHow SUVs Are Making Traffic WorseTrump Slashed International Aid. Geneva Is Feeling the Impact.These US Bridges Face High Risk of Catastrophic Ship StrikesRubio spoke les,Energy
XOM,Exxon Mobil Corporation (XOM): Among Dividend Zombies to Invest in,"We recently published a list of 15 Dividend Zombies to Invest in. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other dividend zombies to invest in. The broader market has posted consecutive annual gains of 25%, largely fueled by growth stocks and companies capitalizing on […]",Energy
XOM,XOM Invests $100M to Boost High-Purity Isopropyl Alcohol Production,"ExxonMobil's decision to spend on the upgrade at its Baton Rouge chemical facility comes amid a surge in demand for microchips, driven by the rise of artificial intelligence.",Energy
XOM,Rubio vows stern response if Venezuela attacks Guyana,"U.S. Secretary of State Marco Rubio vowed Thursday that the United States will respond forcefully if Venezuela attacks Guyana amid an ongoing territorial dispute that involves massive oil and gas reserves. Rubio said it would be a “very bad day” for Venezuela should that happen. On the second leg of a three-nation tour of the Caribbean, Rubio was in Guyana as the Trump administration ramps up engagement in the Western Hemisphere to promote energy independence and curb illegal migration, drug trafficking and gang violence.",Energy
XOM,Prediction: Chevron Will Soar Over the Next 2 Years. Here's 1 Reason Why.,"Chevron (NYSE: CVX) stock has gone nowhere over the past three years. The average one in the S&P 500 is up more than 20% in the period, while shares of chief rival ExxonMobil (NYSE: XOM) surged almost 40%. One issue weighing down Chevron's stock in recent years has been the uncertainty surrounding its pending acquisition of Hess (NYSE: HES).",Energy
XOM,Is Exxon Mobil Corporation (XOM) the Best Consistent Dividend Stock to Buy?,"We recently published a list of 12 Best Consistent Dividend Stocks to Buy. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other best consistent dividend stocks to buy. Over the past two years, persistently high inflation has led to increased borrowing costs, creating a difficult […]",Energy
XOM,Sector Update: Energy Stocks Rise Late Afternoon,"Energy stocks were higher late Wednesday afternoon, with the NYSE Energy Sector Index and the Energy",Energy
XOM,Sector Update: Energy,"Energy stocks were higher late Wednesday afternoon, with the NYSE Energy Sector Index and the Energy",Energy
XOM,Is Exxon Mobil Corporation (XOM) the Undervalued Lithium Stock to Invest In?,"We recently published a list of 7 Undervalued Lithium Stocks to Invest In. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other undervalued lithium stocks to invest in. Lithium is a lightweight and highly reactive metal that has become essential to modern energy storage solutions […]",Energy
XOM,Exxon to Make Chip-Grade Cleaning Alcohol in $100M Plant Overhaul,"The company plans to supply 99.999% isopropyl alcohol to U.S. fabs, with production starting after 2027",Energy
XOM,Exxon investing $100 million in facility to produce cleaning alcohol for chip industry,"Exxon Mobil said on Wednesday it will spend $100 million to upgrade its Baton Rouge, Louisiana, chemical plant to produce a highly pure form of isopropyl alcohol that is used in the tech industry to clean and process microchips. The move comes as the development of advanced artificial intelligence is spurring a boom in the chip industry, with companies building data centers that house huge troves of specialized chips and tech giants developing in-house chips to train AI systems. The chemical plant upgrade, which will be completed by 2027, will allow Exxon to produce more high-purity isopropyl alcohol and meet the growing demand from U.S. tech companies, said Frederik Donkers, vice president of intermediates at Exxon.",Energy
XOM,ExxonMobil Signs Agreement to Sell Thai Gas Assets to Horizon Oil,XOM divests its stakes in three development licenses onshore Thailand to Australia-based Horizon Oil. Horizon will own a 60% stake in the E5 block and a 7.5% stake in blocks E5N and EU1.,Energy
XOM,Energy Stocks Are Leading the Market. Can the Rally Hold?,The way oil and gas shares are performing may say more about the overall market than it says about the companies.,Energy
XOM,Exxon Mobil Corporation (XOM) is Attracting Investor Attention: Here is What You Should Know,"Zacks.com users have recently been watching Exxon (XOM) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.",Energy
XOM,Want Better Returns? Don't Ignore These 2 Oils-Energy Stocks Set to Beat Earnings,Why investors should use the Zacks Earnings ESP tool to help find stocks that are poised to top quarterly earnings estimates.,Energy
XOM,Does ExxonMobil Have the Fuel to Grow Into a $1 Trillion Company?,"ExxonMobil (NYSE: XOM) is the 800-pound gorilla in the oil patch. The energy giant currently has a market cap of more than $500 billion. Last year, it generated $34 billion in earnings and $55 billion in operating cash flow, which led all international oil companies (IOCs).",Energy
XOM,Jim Cramer Prefers Chevron (CVX) Over ExxonMobil – Here’s Why,"We recently published a list of 10 Stocks on Jim Cramer’s Radar Amid Market Volatility. In this article, we are going to take a look at where Chevron Corp (NYSE:CVX) stands against other stocks on Jim Cramer’s radar amid market volatility. Jim Cramer in a latest program on CNBC commented on the reasons behind the […]",Energy
XOM,Is Exxon Mobil Corporation (XOM) The Best Gas Stock to Buy According to Billionaires?,"We recently compiled a list of the 10 Best Gas Stocks to Buy According to Billionaires. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against the other gas stocks. Energy stocks have performed strongly in 2025 so far and have outpaced the broader markets. Investors seem […]",Energy
XOM,Is Exxon Mobil (XOM) the Best Energy Stock to Invest in According to Billionaires?,"We recently published a list of 12 Best Energy Stocks to Invest in According to Billionaires. In this article, we are going to take a look at where Exxon Mobil Corporation (NYSE:XOM) stands against other best energy stocks to invest in according to billionaires. After significantly lagging behind in 2024, the broader energy sector finally […]",Energy
XOM,Shell Confirms Potential Sales of Chemicals Assets,"Shell signaled the possible sale of its least parts of its chemicals business, as it seeks to bolster its share price and close the valuation gap with U.S. rivals such as Exxon and Chevron. The oil-and-gas major said Tuesday that it will explore strategic and partnership opportunities for its chemicals operations in the U.",Energy
XOM,Exxon Mobil (XOM) Advances But Underperforms Market: Key Facts,"In the most recent trading session, Exxon Mobil (XOM) closed at $115.80, indicating a +0.26% shift from the previous trading day.",Energy
XOM,Colonial Pipeline Responds to Protest Against Pipeline Changes,"(Bloomberg) -- Colonial Pipeline Co. defended a proposal for operational changes on its fuel network after objections from oil majors Exxon Mobil Corp. and Chevron Corp. and commodities trader Trafigura.Most Read from BloombergThey Built a Secret Apartment in a Mall. Now the Mall Is Dying.Why Did the Government Declare War on My Adorable Tiny Truck?Chicago Transit Faces ‘Doomsday Scenario,’ Regional Agency SaysLA Faces $1 Billion Budget Hole, Warns of Thousands of LayoffsLibraries Warn They Coul",Energy
XOM,Is Exxon Mobil (XOM) The Best Battery Stock to Buy According to Billionaires?,"We recently published a list of 12 Best Battery Stocks to Buy According to Billionaires. In this article, we are going to take a look at where Exxon Mobil (NYSE:XOM) stands against other best battery stocks to buy according to billionaires. Batteries are essential to our global energy landscape, especially nowadays, as they contribute heavily […]",Energy
XOM,Oil Firms Seize Chance to Fight State Climate Laws—With Trump’s Help,The fossil-fuel industry wants to avoid the financial penalties that tobacco companies faced and is asking for the president’s protection against legal challenges.,Energy
