title,summary,category
Why Investors Need to Take Advantage of These 2 Utilities Stocks Now,Finding stocks expected to beat quarterly earnings estimates becomes an easier task with our Zacks Earnings ESP.,Utilities
NovaSource and Doral Renewables Prepare to Deploy One of the US' Largest Agrivoltaics Facilities in Northwest Indiana,"NovaSource Power Services (""NovaSource""), the world's largest solar operations and maintenance (""O&M"") provider, has partnered with Doral Renewables and been selected as the Operations and Maintenance (""O&M"") and Generator Operator (""GO"") for the Mammoth Solar Project, one of the largest agrivoltaics facilities in the United States.",Utilities
Here's How Much You'd Have If You Invested $1000 in American Water Works a Decade Ago,"Investing in certain stocks can pay off in the long run, especially if you hold on for a decade or more.",Utilities
Here's How Much a $1000 Investment in Atmos Energy Made 10 Years Ago Would Be Worth Today,"Investing in certain stocks can pay off in the long run, especially if you hold on for a decade or more.",Utilities
ADNOC secures two LNG deals with Chinese firms,"ADNOC will supply ENN with 1m tonnes per year, while Zhenhua Oil will receive 12 cargoes a year.",Utilities
"If the Stock Market Continues Sinking, Here's How I'd Invest My Next $500","The stock market is having a rough start to the year. The S&P 500 is down about 15% from its recent peak. Topping that list are NextEra Energy (NYSE: NEE), Broadcom (NASDAQ: AVGO), and Invitation Homes (NYSE: INVH).",Utilities
Xcel Energy (NASDAQ:XEL) shareholders have earned a 32% return over the last year,The simplest way to invest in stocks is to buy exchange traded funds. But investors can boost returns by picking...,Utilities
FirstEnergy to Release Q1 Earnings: Here's What You Need to Know,"FE first-quarter 2025 results are expected to benefit from improved service reliability. Yet, severe storms might have offset some positives.",Utilities
"Can RGC Resources, Inc.'s (NASDAQ:RGCO) ROE Continue To Surpass The Industry Average?","While some investors are already well versed in financial metrics (hat tip), this article is for those who would like...",Utilities
Northland Power Appoints New Chief Financial Officer,"TORONTO, April 21, 2025 (GLOBE NEWSWIRE) -- Northland Power Inc. (TSX: NPI) (“Northland” or the “Company”) announced today the appointment of Jeff Hart as the Company’s new Chief Financial Officer (CFO), effective May 1, 2025. Mr. Hart brings a wealth of experience in financial leadership and capital markets, having served in senior executive roles – including CFO – at two large publicly-traded Canadian energy companies, Husky Energy and Cenovus Energy. His extensive experience in capital market",Utilities
William T. Yardley Elected to the Board of Directors of New Jersey Resources,"WALL, N.J., April 21, 2025--The board of directors of New Jersey Resources (NYSE: NJR) today announced the unanimous election of William T. Yardley to the board, effective July 1, 2025.",Utilities
"Why Global Water Resources, Inc. (NASDAQ:GWRS) Looks Like A Quality Company","One of the best investments we can make is in our own knowledge and skill set. With that in mind, this article will...",Utilities
Phillips 66 fires back at Elliott over Citgo conflict of interest amid board fight,"(Reuters) -Activist investor Elliott Investment Management should back down from its push to break up energy company Phillips 66 because it is conflicted from a separate effort to acquire one of the group's rivals, Phillips 66 said in a letter on Monday. The salvo is the latest in a bitter spat between Phillips 66 and Elliott that is due to come to a head at a shareholder meeting next month. In arguing against Elliott's break-up thesis in the letter, Phillips 66 said the investment firm has a conflict of interest due to its separate efforts to buy Citgo Petroleum.",Utilities
Can E.ON SE (ETR:EOAN) Maintain Its Strong Returns?,"One of the best investments we can make is in our own knowledge and skill set. With that in mind, this article will...",Utilities
Asian Dividend Stocks To Consider In April 2025,"As global markets navigate a landscape marked by trade uncertainties and fluctuating economic growth, Asian indices have shown resilience with strategic policy adjustments and stimulus expectations. In this environment, dividend stocks in Asia present an intriguing opportunity for investors seeking income stability amidst market volatility.",Utilities
NRG Energy (NRG): Among the Best Utility Stocks to Buy According to Analysts,"We recently published a list of 13 Best Utility Stocks to Buy According to Analysts. In this article, we are going to take a look at where NRG Energy, Inc. (NYSE:NRG) stands against other best utility stocks to buy according to analysts. Utility stocks represent companies primarily engaged in providing electricity, natural gas, and water […]",Utilities
DTE Energy Company (DTE): One of the Best WallStreetBets Stocks to Buy According to Hedge Funds,"We recently published a list of 12 Best WallStreetBets Stocks To Buy According to Hedge Funds. In this article, we are going to take a look at where DTE Energy Company (NYSE:DTE) stands against other best WallStreetBets stocks to buy according to hedge funds. The World Economic Forum’s Global Retail Investor Outlook 2024 highlighted a sustained transition […]",Utilities
"Looking For Yields: Evergy, Sempra, And Philip Morris Are Consistent Moneymakers","Companies with a long history of paying dividends and consistently hiking them remain appealing to income-focused investors. Evergy, Sempra, and Philip Morris have rewarded shareholders for years and recently announced dividend increases. These companies currently offer dividend yields of over 3%. Evergy Evergy (NASDAQ:EVRG) engages in the generation, transmission, distribution, and sale of electricity in the U.S. It generates electricity through coal, landfill gas, uranium, and natural gas and",Utilities
3 Top Dividend Stocks Yielding Over 3% to Buy With $500 Right Now,"Dividend stocks can be fantastic investments. The best ones pay an attractive and growing stream of dividend income while also delivering healthy stock price appreciation over the long term. While there are lots of dividend stocks out there, Johnson & Johnson (NYSE: JNJ), Invitation Homes (NYSE: INVH), and NextEra Energy (NYSE: NEE) are three of the best.",Utilities
"Dominion Energy, Inc. (NYSE:D) is favoured by institutional owners who hold 77% of the company",Key Insights Institutions' substantial holdings in Dominion Energy implies that they have significant influence over...,Utilities
Consolidated Water Co. Ltd.'s (NASDAQ:CWCO) Stock Has Shown Weakness Lately But Financial Prospects Look Decent: Is The Market Wrong?,"It is hard to get excited after looking at Consolidated Water's (NASDAQ:CWCO) recent performance, when its stock has...",Utilities
Do Pure Cycle's (NASDAQ:PCYO) Earnings Warrant Your Attention?,"It's common for many investors, especially those who are inexperienced, to buy shares in companies with a good story...",Utilities
Investors in Maxim Power (TSE:MXG) have seen strong returns of 113% over the past five years,"The last three months have been tough on Maxim Power Corp. ( TSE:MXG ) shareholders, who have seen the share price...",Utilities
"Why Merck, Black Hills, And Virtus Investment Partners Are Winners For Passive Income","Companies with a long history of paying dividends and consistently hiking them remain appealing to income-focused investors. Merck, Black Hills, and Virtus Investment Partners have rewarded shareholders for years and recently announced dividend increases. These companies currently offer dividend yields of around 4-6%. Merck Merck (NYSE:MRK) is a healthcare company that manufactures pharmaceutical products to treat various conditions in many therapeutic areas, including cardiometabolic disease, c",Utilities
Portland General Electric declares dividend,"On April 18, 2025, the board of directors of Portland General Electric Company (NYSE: POR) declared a quarterly common stock dividend of $0.525 per share, representing an increase of 5%, or $0.10 per share, on an annualized basis.",Utilities
NextEra Energy (NEE): Among the Best Utility Stocks to Buy According to Analysts,"We recently published a list of 13 Best Utility Stocks to Buy According to Analysts. In this article, we are going to take a look at where NextEra Energy, Inc. (NYSE:NEE) stands against other best utility stocks to buy according to analysts. Utility stocks represent companies primarily engaged in providing electricity, natural gas, and water […]",Utilities
"Fluence Energy, Inc. Announces Second Quarter 2025 Earnings Release Date, Conference Call and Webcast","ARLINGTON, Va., April 18, 2025 (GLOBE NEWSWIRE) -- Fluence Energy, Inc. (Nasdaq: FLNC) (“Fluence” or the “Company”), announced today that it will report earnings for the second quarter ended March 31st, 2025 on Wednesday, May 7th, 2025, after market close. The Company will conduct a teleconference starting at 8:30 a.m. EST on Thursday, May 8th, 2025, to discuss the results. To participate, analysts are required to register by clicking Fluence Energy Q2 Earnings Call Registration Link. Once regis",Utilities
"Jim Cramer Recommends Consolidated Edison (ED): “No Fuss, No Mess — It Just Pays You Steady”","We recently published a list of Jim Cramer’s List of 16 Stocks to Buy Right Now. In this article, we are going to take a look at where Consolidated Edison, Inc. (NYSE:ED) stands against other stocks on Jim Cramer’s list to buy right now. On Monday, April 14th, Jim Cramer opened the Mad Money episode with a […]",Utilities
"Is Montauk Renewables, Inc. (MNTK) the Best Under-the-Radar Stock to Buy Now?","We recently published a list of 10 Best Under-the-Radar Stocks to Buy Now. In this article, we are going to take a look at where Montauk Renewables, Inc. (NASDAQ:MNTK) stands against other best under-the-radar stocks to buy now. The market environment is currently dominated by headlines about mega-cap tech stocks and the volatility induced by […]",Utilities
"While institutions invested in Cadiz Inc. (NASDAQ:CDZI) benefited from last week's 12% gain, retail investors stood to gain the most",Key Insights Significant control over Cadiz by retail investors implies that the general public has more power to...,Utilities
WEC Energy Group (NYSE:WEC) Declares 89 Cents Dividend for 331st Consecutive Quarter,"WEC Energy Group (NYSE:WEC) reaffirmed its commitment to shareholder value by announcing a quarterly dividend of 89 cents per share, payable on June 1, 2025, marking its 331st consecutive payout. The company also reported strong Q4 2024 earnings, with net income doubling to $453.5 million year-over-year. During the last quarter, WEC's share price increased by 9%, which aligns with the broader market's performance over the past year. This stability, supported by consistent dividend payments...",Utilities
Exelon (NasdaqGS:EXC) Promotes Khouzami To EVP As Energy Demand Expected To Surge,"Exelon (NasdaqGS:EXC) is undergoing a significant leadership change, with Carim Khouzami taking on the role of Executive Vice President to enhance transmission operations during rising energy demands. These changes come amid a strong quarterly performance, reflected in a 19% increase in the company's share price. Exelon's recent appointment of David DeWalt to its board, bringing cybersecurity expertise, and solid earnings growth add further strength to its market position. Additionally,...",Utilities
Consolidated Edison (NYSE:ED) Declares Quarterly Dividend Of US$0.85 Per Share,"Consolidated Edison (NYSE:ED) recently affirmed a quarterly dividend of 85 cents per share, scheduled to be paid in June 2025. This announcement, coupled with a successful equity offering of 6.3 million shares raising $631 million, might have provided support to the company's stock, which saw a 20% increase over the last quarter. This gain was in line with the market's broader positive trend, up 6% over the past year. Despite a decrease in net income for the full year and fourth quarter of...",Utilities
Will Middlesex Water (MSEX) Beat Estimates Again in Its Next Earnings Report?,Middlesex Water (MSEX) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,Utilities
National Grid (NGG) Is Up 3.23% in One Week: What You Should Know,Does National Grid (NGG) have what it takes to be a top stock pick for momentum investors? Let's find out.,Utilities
Why Unitil (UTL) is a Top Dividend Stock for Your Portfolio,"Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does Unitil (UTL) have what it takes? Let's find out.",Utilities
Is Fluence Energy Inc. (NASDAQ:FLNC) the Most Promising Penny Stock According to Analysts?,"We recently published a list of the 11 Most Promising Penny Stocks According to Analysts. In this article, we are going to take a look at where Fluence Energy Inc. (NASDAQ:FLNC) stands against other promising penny stocks. Solus’ Dan Greenhaus, and Invesco’s Brian Levitt together appeared on CNBC’s ‘Closing Bell’ on April 15 to talk […]",Utilities
SWX or ATO: Which Is the Better Value Stock Right Now?,SWX vs. ATO: Which Stock Is the Better Value Option?,Utilities
"Exxon, Occidental projects at risk due to DOGE cuts, WSJ reports","The Energy Department is preparing dramatic cuts that could halt nearly $10B in federal funding for clean-energy projects and upend government contracts with energy companies working on hydrogen, carbon capture, long-duration energy storage and other technologies, according to department memos reviewed by The Wall Street Journal. The $10B sum reflects potential funding cuts in two DOE offices and likely a slice of the DOGE-driven cancellations under consideration across the Energy Department, cu",Utilities
"DOGE Comes for Clean Energy, Putting Exxon and Occidental Projects at Risk",Thousands of Energy Department jobs are expected to be eliminated as Trump goes after a favorite target.,Utilities
"Centrica (LON:CNA) shareholder returns have been incredible, earning 409% in 5 years",We think all investors should try to buy and hold high quality multi-year winners. While not every stock performs well...,Utilities
Portland General Electric (POR) Expected to Beat Earnings Estimates: Should You Buy?,Portland General Electric (POR) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,Utilities
Vistra Corp. (VST): Among Billionaire David Tepper’s Top Stock Picks,"We recently published a list of Billionaire David Tepper’s Top 10 Stock Picks. In this article, we are going to take a look at where Vistra Corp. (NYSE:VST) stands against other billionaire David Tepper’s top stock picks. David Alan Tepper, born on September 11, 1957, is an American billionaire hedge fund manager, businessman, and sports […]",Utilities
Are Utilities Stocks Lagging CMS Energy (CMS) This Year?,Here is how CMS Energy (CMS) and Exelon (EXC) have performed compared to their sector so far this year.,Utilities
SJW Group (SJW): Among the Low Profile Dividend Champions to Buy,"We recently published a list of the 15 Low Profile Dividend Champions to Buy. In this article, we are going to take a look at where SJW Group (NASDAQ:SJW) stands against other low profile dividend champions. Companies known as Dividend Aristocrats belong to the S&P Index and have raised their dividend payments every year for a […]",Utilities
"MGE Energy, Inc. (MGEE): Among the Low Profile Dividend Champions to Buy","We recently published a list of the 15 Low Profile Dividend Champions to Buy. In this article, we are going to take a look at where MGE Energy, Inc. (NASDAQ:MGEE) stands against other low profile dividend champions. Companies known as Dividend Aristocrats belong to the S&P Index and have raised their dividend payments every year for […]",Utilities
Eversource Energy (ES): The Low Profile Dividend Champion to Buy,"We recently published a list of the 15 Low Profile Dividend Champions to Buy. In this article, we are going to take a look at where Eversource Energy (NYSE:ES) stands against other low profile dividend champions. Companies known as Dividend Aristocrats belong to the S&P Index and have raised their dividend payments every year for a […]",Utilities
1 of Wall Street’s Favorite Stock for Long-Term Investors and 2 to Turn Down,"Wall Street is overwhelmingly bullish on the stocks in this article, with price targets suggesting significant upside potential. However, it’s worth remembering that analysts rarely issue sell ratings, partly because their firms often seek other business from the same companies they cover.",Utilities
Want Better Returns? Don't Ignore These 2 Oils-Energy Stocks Set to Beat Earnings,Why investors should use the Zacks Earnings ESP tool to help find stocks that are poised to top quarterly earnings estimates.,Utilities
Want Better Returns? Don't Ignore These 2 Utilities Stocks Set to Beat Earnings,The Zacks Earnings ESP is a great way to find potential earnings surprises. Why investors should take advantage now.,Utilities
Consumers Energy Celebrates Line Worker Appreciation Day,"Today, Consumers Energy proudly celebrates Line Worker Appreciation Day, recognizing the highly skilled men and women whose work in the field keeps the power on and our communities connected — often in the face of severe weather, challenging terrain and long hours.",Utilities
"Essential Utilities, Inc. (WTRG): Among the Best Utility Stocks to Buy According to Analysts","We recently published a list of 13 Best Utility Stocks to Buy According to Analysts. In this article, we are going to take a look at where Essential Utilities, Inc. (NYSE:WTRG) stands against other best utility stocks to buy according to analysts. Utility stocks represent companies primarily engaged in providing electricity, natural gas, and water […]",Utilities
Sempra (SRE): Among the Best Utility Stocks to Buy According to Analysts,"We recently published a list of 13 Best Utility Stocks to Buy According to Analysts. In this article, we are going to take a look at where Sempra (NYSE:SRE) stands against other best utility stocks to buy according to analysts. Utility stocks represent companies primarily engaged in providing electricity, natural gas, and water distribution services, […]",Utilities
Eversource Energy (ES): Among the Best Utility Stocks to Buy According to Analysts,"We recently published a list of 13 Best Utility Stocks to Buy According to Analysts. In this article, we are going to take a look at where Eversource Energy (NYSE:ES) stands against other best utility stocks to buy according to analysts. Utility stocks represent companies primarily engaged in providing electricity, natural gas, and water distribution […]",Utilities
PG&E Corporation (PCG): Among the Best Utility Stocks to Buy According to Analysts,"We recently published a list of 13 Best Utility Stocks to Buy According to Analysts. In this article, we are going to take a look at where PG&E Corporation (NYSE:PCG) stands against other best utility stocks to buy according to analysts. Utility stocks represent companies primarily engaged in providing electricity, natural gas, and water distribution […]",Utilities
Edison International (EIX): Among the Best Utility Stocks to Buy According to Analysts,"We recently published a list of 13 Best Utility Stocks to Buy According to Analysts. In this article, we are going to take a look at where Edison International (NYSE:EIX) stands against other best utility stocks to buy according to analysts. Utility stocks represent companies primarily engaged in providing electricity, natural gas, and water distribution […]",Utilities
Brookfield Renewable Corporation (BEPC): Among the Best Utility Stocks to Buy According to Analysts,"We recently published a list of 13 Best Utility Stocks to Buy According to Analysts. In this article, we are going to take a look at where Brookfield Renewable Corporation (NYSE:BEPC) stands against other best utility stocks to buy according to analysts. Utility stocks represent companies primarily engaged in providing electricity, natural gas, and water […]",Utilities
The AES Corporation (AES): Among the Best Utility Stocks to Buy According to Analysts,"We recently published a list of 13 Best Utility Stocks to Buy According to Analysts. In this article, we are going to take a look at where The AES Corporation (NYSE:AES) stands against other best utility stocks to buy according to analysts. Utility stocks represent companies primarily engaged in providing electricity, natural gas, and water […]",Utilities
"Is NextEra Energy, Inc. (NEE) the Best Long Term Stock to Buy According to Billionaires?","We recently published a list of the 10 Best Long Term Stocks to Buy According to Billionaires. In this article, we are going to take a look at where NextEra Energy, Inc. (NYSE:NEE) stands against other best long term stocks. Dividend-paying stocks have traditionally been seen as a solid foundation for investment portfolios, offering steady income […]",Utilities
Polska Grupa Energetyczna SA (FRA:6PG) Full Year 2024 Earnings Call Highlights: Strategic ...,"Despite declining revenues, Polska Grupa Energetyczna SA (FRA:6PG) boosts profitability and advances in renewable energy projects, while navigating governance issues and market uncertainties.",Utilities
NU E Power Corp. Completes Shares for Debt Transaction,"Calgary, Alberta--(Newsfile Corp. - April 17, 2025) - Nu E Power Corp. (CSE: NUE) (OTC Pink: NUEPF) (the ""Company"" or ""Nu E"") announces they have settled outstanding indebtedness of the Company in the aggregate amount of $275,000 (the ""Debt""), pursuant to the terms of debt settlement agreements with certain arm's length creditors (the ""Creditors""). In settlement of the Debt, the Company issued an aggregate of 833,333 common shares in the capital of the ...",Utilities
NextEra Energy (NEE) Exceeds Market Returns: Some Facts to Consider,"In the closing of the recent trading day, NextEra Energy (NEE) stood at $66.31, denoting a +1.02% change from the preceding trading day.",Utilities
"Energy Vault Holdings, Inc. Receives Notice of Continued Listing Standards From NYSE","WESTLAKE VILLAGE, Calif., April 17, 2025--Energy Vault Holdings, Inc. (""Energy Vault"") (NYSE: NRGV), a global energy storage company today announced that it received notice from the New York Stock Exchange (the ""NYSE"") on April 16, 2025, indicating that Energy Vault is not in compliance with NYSE’s continued listing standards because the average closing price of Energy Vault’s common stock was less than $1.00 over a consecutive 30 trading-day period.",Utilities
Wisconsin Electric declares quarterly dividends,"The Wisconsin Electric board of directors today declared a quarterly cash dividend of 90 cents per share on the company's Preferred Stock, 3.60% Series, payable June 1, 2025, to stockholders of record on May 14, 2025. The board also declared a quarterly cash dividend of $1.50 per share on the company's Six Per Cent Preferred Stock, payable July 31, 2025, to stockholders of record on July 14, 2025.",Utilities
CON EDISON DECLARES COMMON STOCK DIVIDEND,"Consolidated Edison, Inc. (Con Edison) (NYSE: ED) declared a quarterly dividend of 85 cents a share on its common stock, payable June 16, 2025 to stockholders of record as of May 14, 2025.",Utilities
ONE Gas to Participate in American Gas Association Financial Forum,"ONE Gas, Inc. (NYSE: OGS) today announced it will participate in the American Gas Association Financial Forum, May 18-20, 2025, in Marco Island, Florida.",Utilities
WEC Energy Group declares quarterly dividend,The board of directors of WEC Energy Group (NYSE: WEC) today declared a quarterly cash dividend of 89.25 cents per share on the company's common stock.,Utilities
Is There An Opportunity With AGL Energy Limited's (ASX:AGL) 48% Undervaluation?,Key Insights The projected fair value for AGL Energy is AU$19.71 based on 2 Stage Free Cash Flow to Equity AGL Energy's...,Utilities
